"degreeCutoff","p","lambda","meanLS","medianLS","R","G","GompAIC","WeibAIC"
NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.5,0.037037037037037,1.95445523444736,1.50879354123026,0.396610970372959,0.142499289197294,333.262768231764,332.272822037171
5,0.6,0.037037037037037,4.29687528644596,3.93054553703405,0.107146008044856,0.214950735468015,465.985933861473,472.464408412884
5,0.7,0.037037037037037,6.59698645644072,6.56839996821371,0.0358350532024541,0.274436410455751,507.675094776208,508.780572608724
5,0.8,0.037037037037037,9.80487467507485,10.281713694334,0.0139869009017936,0.259443454328041,549.173356016617,555.949144223772
5,0.9,0.037037037037037,13.5206654422875,13.7902972900774,0.00409082867583508,0.27791923708912,552.271291657079,543.428753191566
5,1,0.037037037037037,15.3815309641756,15.4111235418823,0.00293680462995693,0.261450207360025,565.785739873211,552.751714873442
5,0.5,0.0123456790123457,5.7776977782989,4.7621758331079,0.135535295176558,0.04621717276298,550.312926693533,553.508725475806
5,0.6,0.0123456790123457,12.0892266223078,11.186353281835,0.0466530058545222,0.055385629343751,683.105718887277,686.757374030884
5,0.7,0.0123456790123457,21.5162056088182,20.5809327440802,0.0143474392025996,0.067749640175239,761.260132120848,759.975819105303
5,0.8,0.0123456790123457,28.4817430761285,28.7333153130021,0.00654762367976067,0.0748723518625175,783.231598255709,791.997266726842
5,0.9,0.0123456790123457,37.5138376986025,37.1061526683625,0.00138562301125964,0.101330226045317,760.063932086073,755.105444321012
5,1,0.0123456790123457,46.435739172537,46.4468299949593,0.000671351077064643,0.0960307103349001,773.392293069316,766.620937741995
5,0.5,0.00411522633744856,19.1919971692891,15.8563631107926,0.0376844380906925,0.0190419347341642,786.620496420708,783.037829005378
5,0.6,0.00411522633744856,34.6881620270278,33.9755880687374,0.0115790486278455,0.0318899457240749,874.470871190034,884.963904369141
5,0.7,0.00411522633744856,56.405747713101,54.1498216943267,0.00564367760694494,0.0252175819222471,954.962954719256,952.987270922075
5,0.8,0.00411522633744856,87.7280571015835,89.8818079822853,0.00185251427826054,0.0264168728771989,998.742113060447,1008.10786869024
5,0.9,0.00411522633744856,115.463004972069,117.262490701366,0.000607433810003637,0.0295632734420348,1002.56059261594,1004.56776355858
5,1,0.00411522633744856,143.027615931461,146.59956018487,0.000196958979113983,0.032103897370487,992.154346003753,984.93336346631
