"degreeCutoff","p","lambda","meanLS","medianLS","R","G","GompAIC","WeibAIC"
NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.7,0.037037037037037,5.12128918197685,4.76936221285723,0.0598836661711354,0.287419185952971,472.683115392145,469.00959666338
4,0.75,0.037037037037037,6.07472340228054,5.88736316637807,0.0577391313190474,0.214300098339594,514.001255815425,509.790533456115
4,0.8,0.037037037037037,7.08786735639641,7.17793607781641,0.0354128160142963,0.244870795875528,525.013956321961,533.139568534137
4,0.85,0.037037037037037,9.0585145692889,8.72068473184481,0.0196387956423153,0.248406123602098,540.011559036809,522.788766590797
4,0.9,0.037037037037037,10.4526541308871,9.98885730654001,0.00921426038550029,0.287153920030495,541.096467097704,537.783562960497
4,0.95,0.037037037037037,11.9319386147385,12.5467349030077,0.00499365177055373,0.303619830086141,539.363013057195,536.02103459456
4,1,0.037037037037037,13.4638184454099,13.6082626063822,0.00500641989117768,0.26242542653006,556.757154197384,542.782973920791
4,0.7,0.0123456790123457,12.6685996048852,11.1539639232215,0.0338920818647736,0.0795797154358853,679.281761748463,684.153179086272
4,0.75,0.0123456790123457,19.2665907858047,18.8764011024032,0.0151215481118543,0.0807143410846644,731.247135210015,739.719275222988
4,0.8,0.0123456790123457,21.4350001638752,21.7255940081299,0.0096940715423868,0.093821980691196,729.04054968217,726.266788582062
4,0.85,0.0123456790123457,25.7848843554881,26.4986175234687,0.00443743237650574,0.108122933661065,729.948402887675,726.607841722613
4,0.9,0.0123456790123457,31.9501295369928,32.4188387745526,0.00261104187379424,0.0999732455427276,754.769564440618,761.163768201293
4,0.95,0.0123456790123457,33.7690626377809,33.6436557426573,0.00137679939464061,0.116293758451333,736.172507302505,738.265851183365
4,1,0.0123456790123457,37.1807328746169,38.3408424691456,0.00166124907138886,0.096407452535346,767.13713863571,761.153071365204
4,0.7,0.00411522633744856,47.1102282091539,43.3335846555442,0.006399108659601,0.0318270790933681,914.414036773649,913.140646117649
4,0.75,0.00411522633744856,50.0019466730472,46.573836069243,0.00729838677513023,0.0245597067297928,942.390227004924,944.624331738371
4,0.8,0.00411522633744856,64.96757576599,63.9380274424329,0.00362309807335632,0.0279555017413829,964.844922101591,966.071874480449
4,0.85,0.00411522633744856,76.6309862767622,80.3102006081493,0.00200315681107211,0.0312897629239395,967.05312068837,966.152942159505
4,0.9,0.00411522633744856,90.4379215036492,92.0358654765878,0.00149477224812959,0.0287052642381282,985.947402442392,972.796748780113
4,0.95,0.00411522633744856,102.376735582182,102.229061050565,0.000553107977002941,0.0360921066292316,964.993045712538,964.845917468994
4,1,0.00411522633744856,115.548648657212,116.689636362484,0.000560350287528272,0.0309633399676087,985.83527302606,973.795122022224
