"degreeCutoff","p","lambda","meanLS","medianLS","R","G","GompAIC","WeibAIC"
NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.7,0.111111111111111,1.37098245333959,1.43281372217461,0.644875945797966,0.347948194057067,207.856310369459,216.587188884167
4,0.7,0.111111111111111,1.29091207507339,1.27852425212055,0.655172979370141,0.385929726943257,181.028810446486,174.198936723627
4,0.7,0.111111111111111,1.28634862832994,1.2417779113166,0.760502028253869,0.343060852910737,178.621918518161,182.541329072974
4,0.8,0.111111111111111,2.15392740377286,2.13411796163349,0.72162022278868,0.13534997692141,281.550016036496,272.385688662164
4,0.8,0.111111111111111,2.17575318755036,2.24484949440662,0.823068775534822,0.109592158829861,273.803609522266,284.01000912079
4,0.8,0.111111111111111,2.0345492667883,2.06400454603136,0.724728478679555,0.154711849435094,279.555635530869,275.83601847322
4,0.9,0.111111111111111,3.12589301356865,3.05524654661131,0.801823263880504,0.0461165966906509,318.033699236819,307.0177819398
4,0.9,0.111111111111111,3.27254559311029,3.25503518871455,1.02570314966255,0.022800829678104,288.859602208385,281.279491146454
4,0.9,0.111111111111111,3.25498509689116,3.30198619700968,1.02091290904868,0.0238802720911883,286.329260617986,273.438106288245
4,1,0.111111111111111,4.2008658183955,4.32553135603666,1.07791084471285,0.00709261347528343,288.108561730715,286.038582810867
4,1,0.111111111111111,4.15313291954959,4.31645588809624,0.97692323573051,0.0103770749527901,306.172853349809,298.592657884314
4,1,0.111111111111111,4.13024243118817,4.09626708249561,1.01575314299508,0.00938739113497815,298.616251173252,289.753363794301
4,0.7,0.037037037037037,3.92310377343383,3.70897659469768,0.19064485853288,0.137072414729021,371.249444888431,366.623422311514
4,0.7,0.037037037037037,3.55657553510931,3.22355512389913,0.259830215695782,0.12953063931428,338.91765163149,343.936432859829
4,0.7,0.037037037037037,3.84027569911609,3.57941372226924,0.174235576446148,0.146565109764989,355.171329465547,361.723374199827
4,0.8,0.037037037037037,6.62168917591612,6.67204511957243,0.24980266333541,0.0403234335774949,510.227976892252,516.42762008571
4,0.8,0.037037037037037,7.07424632590088,6.81764663569629,0.260626104874861,0.0336714718979182,503.284730650557,490.084166641483
4,0.8,0.037037037037037,5.92835756742988,6.01006756955758,0.278445621603392,0.0449359721958659,479.647537933186,492.088955199052
4,0.9,0.037037037037037,9.79476164760901,9.36360783758573,0.334006511632501,0.00804474943340804,514.244295747893,508.62808979631
4,0.9,0.037037037037037,9.62484792601228,9.15009590098634,0.348333121606533,0.00758108645173353,509.889101042397,509.088502428984
4,0.9,0.037037037037037,9.33848856721089,9.36609023460187,0.305135925559517,0.0118049627196521,521.94538703556,511.218203036917
4,1,0.037037037037037,12.3893234870727,12.5917742376027,0.286026512156515,0.0052924218042497,543.560877854693,534.662197468627
4,1,0.037037037037037,11.985517371334,12.198384052841,0.305147447940173,0.00500386391033616,532.038981218722,520.351402645127
4,1,0.037037037037037,12.5617241198872,12.7237128645647,0.318714538769789,0.00359865383939276,528.71844173314,519.569544267789
4,0.7,0.0123456790123457,11.8520843702931,11.1961067563499,0.0795528459960112,0.038840579937198,572.520754784927,570.604606499796
4,0.7,0.0123456790123457,12.2061206621103,9.6889728158848,0.0486976359039637,0.0488394016059006,524.572649141501,521.986314139782
4,0.7,0.0123456790123457,11.3218281796559,9.36142462636887,0.0471407906256916,0.0552443573696239,541.966071110203,542.552311815181
4,0.8,0.0123456790123457,20.5805647265521,20.2313017761335,0.0885262006803708,0.0114691247880681,725.947293697854,732.942421842421
4,0.8,0.0123456790123457,19.775550005997,19.4222900960594,0.0822707727269766,0.0139573742421724,696.470997868556,691.101571030848
4,0.8,0.0123456790123457,20.286970949844,19.9529101056978,0.0828125717325365,0.0128784992486058,716.375049066697,720.924849474489
4,0.9,0.0123456790123457,28.379061426579,28.4649632455731,0.0889618016660392,0.00503662784020624,757.273215305726,751.247637983544
4,0.9,0.0123456790123457,30.2092960419889,30.2658393254969,0.0983158274721388,0.00336488365991696,748.861942119956,735.507263625989
4,0.9,0.0123456790123457,28.3143917118619,29.8580483493861,0.128079072164439,0.00211424354797583,710.515649731591,706.164099310173
4,1,0.0123456790123457,37.944921713709,38.5090918950643,0.118242908704568,0.000808438649571821,730.737575553248,723.904469546624
4,1,0.0123456790123457,35.8288525280286,35.98462286219,0.0990876336529257,0.00187426484466703,749.86802703577,730.714456494924
4,1,0.0123456790123457,37.1310441105575,37.7008733411785,0.101568474103084,0.00146324355302902,755.151185040729,744.251986274033
4,0.7,0.00411522633744856,38.1057844948331,33.2335286180599,0.0252261187666597,0.0118205322719166,729.25115728757,729.449929435833
4,0.7,0.00411522633744856,37.1955185234165,34.3338475227288,0.0311253676447731,0.0104252584560529,691.304657939638,698.414135020011
4,0.7,0.00411522633744856,35.1682853467605,29.6625765273775,0.0258268800012003,0.0131794751486329,684.798096970359,690.528022630285
4,0.8,0.00411522633744856,65.9566400520721,63.1646522996016,0.0297078258348848,0.00325561270916511,909.909816140162,900.906442755983
4,0.8,0.00411522633744856,61.1418067837072,61.2864748171996,0.0262739391904592,0.00464262817491415,919.079395178873,928.377203074116
4,0.8,0.00411522633744856,60.7923898311889,55.3306570996601,0.0232308631155497,0.00543735672464555,945.231697696082,923.670883815517
4,0.9,0.00411522633744856,83.0905602616685,77.2621566995342,0.0280191638518244,0.001975727838049,983.738085267863,972.829513580009
4,0.9,0.00411522633744856,84.2125616127623,87.7675819366705,0.0406908444470118,0.000825662469655836,938.529314831091,935.02661185576
4,0.9,0.00411522633744856,83.7733765031764,83.4887517769821,0.0384525066903212,0.00100275795183337,940.740960703628,926.956329929995
4,1,0.00411522633744856,116.680417918095,115.339062555696,0.032003155542501,0.000475359840274557,987.459432668104,977.743508123629
4,1,0.00411522633744856,107.959067527004,109.369227890684,0.0360868448314709,0.000455938344325491,963.450249136966,955.563970138414
4,1,0.00411522633744856,113.275856859266,111.612609419377,0.038119234493761,0.000311604666209025,955.157313772531,947.685487985131
