"degreeCutoff","p","lambda","meanLS","medianLS","R","G","GompAIC","WeibAIC"
NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.7,0.111111111111111,2.12909408203367,2.12479365756735,0.692911488320987,0.142136112220217,290.280032435051,304.046156913623
5,0.7,0.111111111111111,2.05683619478621,1.98848283151165,0.740981284029368,0.14178446214634,275.571916182858,280.379148929076
5,0.7,0.111111111111111,2.10096130940339,2.04955107718706,0.583107211555691,0.174325071205838,299.206394465368,303.736606634998
5,0.8,0.111111111111111,3.24434116017747,3.18757286046353,0.671440180052413,0.0558978337635683,341.758056322421,336.851110037787
5,0.8,0.111111111111111,3.14336209946298,3.0575690302914,0.707155563848549,0.0565547339812986,327.3412941822,322.040698179037
5,0.8,0.111111111111111,2.95720603852941,3.02285205130465,0.747967912055417,0.0607746537162671,321.737357111037,315.03650040516
5,0.9,0.111111111111111,4.33232148277425,4.41679093964222,0.941739966499936,0.00965592457921843,316.052666942732,310.245923579023
5,0.9,0.111111111111111,4.24375512602897,4.24651831691153,0.832443356584869,0.0155963846872719,329.606075864045,320.471991358585
5,0.9,0.111111111111111,4.2098366897961,4.15594455445371,0.822633110655704,0.0164115767689427,333.323438127846,321.943686520398
5,1,0.111111111111111,5.40105974380087,5.42288376367651,0.913043653980751,0.00398711593640426,322.656763054042,314.397018415947
5,1,0.111111111111111,5.31824665605021,5.3006499982439,0.857468740769703,0.00536408082241607,337.559997859945,333.093908985406
5,1,0.111111111111111,5.23021346076166,5.25079213734716,0.753172676440435,0.00944912115900592,348.515940463902,333.85665381617
5,0.7,0.037037037037037,5.73975269011906,5.46374010570803,0.181067155851828,0.0744268374404338,479.923334835702,476.380895143732
5,0.7,0.037037037037037,5.67927668578824,5.18455484742299,0.167282417658847,0.0802707436728324,492.746469330049,490.419347621738
5,0.7,0.037037037037037,6.23553131242771,5.82215637294576,0.252401476405856,0.0447430429535385,464.999459475001,474.918117040011
5,0.8,0.037037037037037,9.62545385507279,10.1528114690445,0.231547299888459,0.0179743289165729,556.362099688051,570.837707035054
5,0.8,0.037037037037037,10.0668712297521,10.3929512787145,0.320959244912098,0.00805650079183556,522.044117984585,516.644795248153
5,0.8,0.037037037037037,9.42459656544714,9.73014390142635,0.268786551839179,0.0145947294467529,537.434806387073,546.368283893193
5,0.9,0.037037037037037,12.3788232898998,12.4743228347506,0.245965288533503,0.00762854655673642,570.219425548729,564.176720114523
5,0.9,0.037037037037037,12.5941235784226,13.1617376022041,0.281400427731422,0.00503391744740741,553.513188963664,551.106077554986
5,0.9,0.037037037037037,13.3299250126887,13.5904103487264,0.262045857471475,0.00494260605445302,567.36247591697,565.415911467779
5,1,0.037037037037037,15.8276543632263,16.1421282412645,0.251507441332746,0.00293043566531228,574.366259391788,563.709922080823
5,1,0.037037037037037,15.5788873036871,15.7201133100316,0.226557972466395,0.00431581202630243,587.189624920635,570.949398375683
5,1,0.037037037037037,15.4341669948953,15.702745715389,0.274345195441485,0.00241062964099998,562.715556494642,556.34968099623
5,0.7,0.0123456790123457,20.889217266443,20.9657603565138,0.07121232546865,0.014679816726165,720.828155628629,719.671283752688
