orf,gene.x,Anno1,Growth1,gene.y,Anno2,Growth2,name.check,essenflag
YAR015W,ade1,verified1,growth1,ade1,verified2,growth2,TRUE,nonessential
YAR018C,KIN3,verified1,growth1,KIN3,verified2,growth2,TRUE,nonessential
YAR019C,cdc15,verified1,nogrowth1,cdc15,verified2,nogrowth2,TRUE,essential
YAR020C,PAU7,verified1,growth1,PAU7,verified2,growth2,TRUE,nonessential
YAR023C,YAR023C,verified1,growth1,YAR023C,verified2,growth2,TRUE,nonessential
YAR027W,YAR027W,verified1,growth1,YAR027W,verified2,growth2,TRUE,nonessential
YAR028W,YAR028W,verified1,growth1,YAR028W,verified2,growth2,TRUE,nonessential
YAR029W,YAR029W,verified1,growth1,YAR029W,verified2,growth2,TRUE,nonessential
YAR030C,YAR030C,verified1,growth1,YAR030C,verified2,growth2,TRUE,nonessential
YAR031W,PRM9,verified1,growth1,PRM9,verified2,growth2,TRUE,nonessential
YAR035W,YAT1,verified1,growth1,YAT1,verified2,growth2,TRUE,nonessential
YAR037W,YAR037W,verified1,growth1,YAR037W,verified2,growth2,TRUE,nonessential
YAR040C,YAR040C,verified1,growth1,YAR040C,verified2,growth2,TRUE,nonessential
YAR042W,SWH1,verified1,growth1,SWH1,verified2,growth2,TRUE,nonessential
YAR043C,YAR043C,verified1,growth1,YAR043C,verified2,growth2,TRUE,nonessential
YAR044W,OSH1,verified1,growth1,OSH1,verified2,growth2,TRUE,nonessential
YAR047C,YAR047C,verified1,growth1,YAR047C,verified2,growth2,TRUE,nonessential
YAR050W,FLO1,verified1,growth1,FLO1,verified2,growth2,TRUE,nonessential
YBL001C,ECM15,verified1,growth1,ECM15,verified2,growth2,TRUE,nonessential
YBL002W,HTB2,verified1,growth1,HTB2,verified2,growth2,TRUE,nonessential
YBL003C,HTA2,verified1,growth1,HTA2,verified2,growth2,TRUE,nonessential
YBL004W,YBL004W,verified1,nogrowth1,YBL004W,verified2,nogrowth2,TRUE,essential
YBL005W,pdr3,verified1,growth1,pdr3,verified2,growth2,TRUE,nonessential
YBL006C,YBL006C,verified1,growth1,YBL006C,verified2,growth2,TRUE,nonessential
YBL007C,SLA1,verified1,growth1,SLA1,verified2,growth2,TRUE,nonessential
YBL008W,HIR1,verified1,growth1,HIR1,verified2,growth2,TRUE,nonessential
YBL009W,YBL009W,verified1,growth1,YBL009W,verified2,growth2,TRUE,nonessential
YBL010C,YBL010C,verified1,growth1,YBL010C,verified2,growth2,TRUE,nonessential
YBL011W,SCT1,verified1,growth1,SCT1,verified2,growth2,TRUE,nonessential
YBL012C,YBL012C,verified1,growth1,YBL012C,verified2,growth2,TRUE,nonessential
YBL013W,FMT1,verified1,growth1,FMT1,verified2,growth2,TRUE,nonessential
YBL014C,RRN6,verified1,nogrowth1,RRN6,verified2,nogrowth2,TRUE,essential
YBL015W,ACH1,verified1,growth1,ACH1,verified2,growth2,TRUE,nonessential
YBL016W,FUS3,verified1,nogrowth1,FUS3,verified2,nogrowth2,TRUE,essential
YBL017C,pep1,verified1,growth1,pep1,verified2,growth2,TRUE,nonessential
YBL018C,POP8,verified1,nogrowth1,POP8,verified2,nogrowth2,TRUE,essential
YBL019W,APN2,verified1,growth1,APN2,verified2,growth2,TRUE,nonessential
YBL020W,rft1,verified1,nogrowth1,rft1,verified2,nogrowth2,TRUE,essential
YBL021C,HAP3,verified1,growth1,HAP3,verified2,growth2,TRUE,nonessential
YBL022C,PIM1,verified1,growth1,PIM1,verified2,growth2,TRUE,nonessential
YBL023C,mcm2,verified1,nogrowth1,mcm2,verified2,nogrowth2,TRUE,essential
YBL024W,NCL1,verified1,growth1,NCL1,verified2,growth2,TRUE,nonessential
YBL025W,RRN10,verified1,nogrowth1,RRN10,verified2,nogrowth2,TRUE,essential
YBL026W,LSM2,verified1,nogrowth1,LSM2,verified2,nogrowth2,TRUE,essential
YBL027W,RPL19B,verified1,growth1,RPL19B,verified2,growth2,TRUE,nonessential
YBL028C,YBL028C,verified1,growth1,YBL028C,verified2,growth2,TRUE,nonessential
YBL029W,YBL029W,verified1,growth1,YBL029W,verified2,growth2,TRUE,nonessential
YBL030C,pet9,verified1,growth1,pet9,verified2,growth2,TRUE,nonessential
YBL031W,SHE1,verified1,growth1,SHE1,verified2,growth2,TRUE,nonessential
YBL032W,YBL032W,verified1,growth1,YBL032W,verified2,growth2,TRUE,nonessential
YBL033C,rib1,verified1,growth1,rib1,verified2,growth2,TRUE,nonessential
YBL034C,STU1,verified1,nogrowth1,STU1,verified2,growth2,TRUE,abnormal
YBL035C,POL12,verified1,nogrowth1,POL12,verified2,nogrowth2,TRUE,essential
YBL036C,YBL036C,verified1,growth1,YBL036C,verified2,growth2,TRUE,nonessential
YBL037W,APL3,verified1,growth1,APL3,verified2,growth2,TRUE,nonessential
YBL038W,MRPL16,verified1,growth1,MRPL16,verified2,growth2,TRUE,nonessential
YBL039C,URA7,verified1,growth1,URA7,verified2,growth2,TRUE,nonessential
YBL040C,ERD2,verified1,nogrowth1,ERD2,verified2,nogrowth2,TRUE,essential
YBL041W,PRE7,verified1,nogrowth1,PRE7,verified2,nogrowth2,TRUE,essential
YBL042C,FUI1,verified1,growth1,FUI1,verified2,growth2,TRUE,nonessential
YBL043W,ECM13,verified1,growth1,ECM13,verified2,growth2,TRUE,nonessential
YBL044W,YBL044W,verified1,growth1,YBL044W,verified2,growth2,TRUE,nonessential
YBL045C,COR1,verified1,growth1,COR1,verified2,growth2,TRUE,nonessential
